login,user_url,html_url,repos_url,followers,total_stars,total_forks,total_watchers,languages,label
schwa,https://api.github.com/users/schwa,https://github.com/schwa,https://api.github.com/users/schwa/repos,903,542,63,542,"{'Ruby', 'Swift', 'Objective-C', 'Python', 'Just', 'Rust'}",Excellent
guzzisto,https://api.github.com/users/guzzisto,https://github.com/guzzisto,https://api.github.com/users/guzzisto/repos,4,2,0,2,{'PHP'},Bad
str1k3r,https://api.github.com/users/str1k3r,https://github.com/str1k3r,https://api.github.com/users/str1k3r/repos,6,0,0,0,"{'Python', 'PowerShell', 'Shell'}",Bad
YungSang,https://api.github.com/users/YungSang,https://github.com/YungSang,https://api.github.com/users/YungSang/repos,49,198,43,198,"{'Shell', 'Ruby', 'JavaScript', 'Python', 'Go'}",Excellent
gotin,https://api.github.com/users/gotin,https://github.com/gotin,https://api.github.com/users/gotin/repos,17,13,2,13,"{'TypeScript', 'Ruby', 'JavaScript', 'Scala', 'Python', 'Java'}",Bad
alexrubin,https://api.github.com/users/alexrubin,https://github.com/alexrubin,https://api.github.com/users/alexrubin/repos,13,2,0,2,"{'JavaScript', 'Python', 'CSS', 'CoffeeScript', 'PHP', 'HTML'}",Bad
pallay,https://api.github.com/users/pallay,https://github.com/pallay,https://api.github.com/users/pallay/repos,7,6,1,6,"{'Shell', 'Solidity', 'Ruby', 'JavaScript', 'Scala', 'Objective-C', 'Go', 'Java'}",Bad
ischenkodv,https://api.github.com/users/ischenkodv,https://github.com/ischenkodv,https://api.github.com/users/ischenkodv/repos,17,19,6,19,"{'LiveScript', 'JavaScript', 'Objective-C', 'VimL', 'PHP'}",Bad
aroscoe,https://api.github.com/users/aroscoe,https://github.com/aroscoe,https://api.github.com/users/aroscoe/repos,36,53,11,53,"{'Shell', 'Ruby', 'JavaScript', 'Python', 'Emacs Lisp'}",Average
jfred,https://api.github.com/users/jfred,https://github.com/jfred,https://api.github.com/users/jfred/repos,26,28,5,28,"{'Shell', 'Ruby', 'Java', 'JavaScript', 'C', 'Objective-C', 'Python', 'VimL', 'HTML'}",Bad
Ademan,https://api.github.com/users/Ademan,https://github.com/Ademan,https://api.github.com/users/Ademan/repos,31,4,4,4,"{'JavaScript', 'C', 'Python', 'CSS', 'C++', 'Java'}",Bad
raymanoz,https://api.github.com/users/raymanoz,https://github.com/raymanoz,https://api.github.com/users/raymanoz/repos,26,4,6,4,"{'TypeScript', 'Shell', 'Ruby', 'Java', 'JavaScript', 'D', 'Scala', 'Crystal', 'Kotlin', 'Elm', 'HTML'}",Bad
reneheino,https://api.github.com/users/reneheino,https://github.com/reneheino,https://api.github.com/users/reneheino/repos,6,6,2,6,"{'Ruby', 'Objective-C', 'Java'}",Bad
mwlang,https://api.github.com/users/mwlang,https://github.com/mwlang,https://api.github.com/users/mwlang/repos,49,49,17,49,"{'Shell', 'Ruby', 'JavaScript', 'Crystal', 'HTML'}",Average
northern-bites,https://api.github.com/users/northern-bites,https://github.com/northern-bites,https://api.github.com/users/northern-bites/repos,5,161,153,161,"{'C++', 'Java'}",Average
studioego,https://api.github.com/users/studioego,https://github.com/studioego,https://api.github.com/users/studioego/repos,138,21,2,21,"{'JavaScript', 'C', 'Python', 'C++', 'Vue', 'HTML'}",Bad
odjuvsla,https://api.github.com/users/odjuvsla,https://github.com/odjuvsla,https://api.github.com/users/odjuvsla/repos,4,19,1,19,"{'Python', 'C++'}",Bad
waku,https://api.github.com/users/waku,https://github.com/waku,https://api.github.com/users/waku/repos,4,5,1,5,"{'Ruby', 'JavaScript'}",Bad
hugo-gomes,https://api.github.com/users/hugo-gomes,https://github.com/hugo-gomes,https://api.github.com/users/hugo-gomes/repos,31,0,0,0,"{'Go', 'C'}",Bad
ryanfb,https://api.github.com/users/ryanfb,https://github.com/ryanfb,https://api.github.com/users/ryanfb/repos,230,156,31,156,"{'Shell', 'VHDL', 'Dockerfile', 'Ruby', 'JavaScript', 'C', 'C++', 'Makefile', 'CoffeeScript'}",Excellent
BarryCarlyon,https://api.github.com/users/BarryCarlyon,https://github.com/BarryCarlyon,https://api.github.com/users/BarryCarlyon/repos,222,16,7,16,"{'TypeScript', 'Java', 'JavaScript', 'Lua', 'PHP', 'HTML'}",Bad
hoangtg,https://api.github.com/users/hoangtg,https://github.com/hoangtg,https://api.github.com/users/hoangtg/repos,4,2,0,2,set(),Bad
anticomputergroup,https://api.github.com/users/anticomputergroup,https://github.com/anticomputergroup,https://api.github.com/users/anticomputergroup/repos,4,1,0,1,{'Assembly'},Bad
kvaneesh,https://api.github.com/users/kvaneesh,https://github.com/kvaneesh,https://api.github.com/users/kvaneesh/repos,50,31,16,31,"{'Python', 'C'}",Average
playpauseandstop,https://api.github.com/users/playpauseandstop,https://github.com/playpauseandstop,https://api.github.com/users/playpauseandstop/repos,253,473,77,473,"{'Python', 'JavaScript', 'Shell', 'Dockerfile'}",Excellent
macks,https://api.github.com/users/macks,https://github.com/macks,https://api.github.com/users/macks/repos,13,229,72,229,"{'Vim Script', 'Ruby', 'C'}",Average
Maxpower57,https://api.github.com/users/Maxpower57,https://github.com/Maxpower57,https://api.github.com/users/Maxpower57/repos,4,6,0,6,set(),Bad
puapal,https://api.github.com/users/puapal,https://github.com/puapal,https://api.github.com/users/puapal/repos,4,2,0,2,set(),Bad
mimosz,https://api.github.com/users/mimosz,https://github.com/mimosz,https://api.github.com/users/mimosz/repos,20,19,12,19,"{'Ruby', 'JavaScript'}",Bad
douggr,https://api.github.com/users/douggr,https://github.com/douggr,https://api.github.com/users/douggr/repos,31,8,3,8,"{'TypeScript', 'Shell', 'JavaScript', 'C', 'CSS', 'SCSS', 'PHP', 'HTML'}",Bad
janet-zz,https://api.github.com/users/janet-zz,https://github.com/janet-zz,https://api.github.com/users/janet-zz/repos,4,2,0,2,{'Java'},Bad
joriehl,https://api.github.com/users/joriehl,https://github.com/joriehl,https://api.github.com/users/joriehl/repos,4,1,0,1,set(),Bad
danmackinlay,https://api.github.com/users/danmackinlay,https://github.com/danmackinlay,https://api.github.com/users/danmackinlay/repos,101,14,3,14,"{'R', 'JavaScript', 'SuperCollider', 'Scala', 'Python', 'CSS', 'C++', 'Jupyter Notebook', 'Processing', 'HTML'}",Bad
shishir,https://api.github.com/users/shishir,https://github.com/shishir,https://api.github.com/users/shishir/repos,22,4,0,4,"{'Elixir', 'TypeScript', 'Ruby', 'Python', 'CSS', 'Go', 'HTML'}",Bad
ainze,https://api.github.com/users/ainze,https://github.com/ainze,https://api.github.com/users/ainze/repos,4,2,1,2,{'Java'},Bad
NYDCATL,https://api.github.com/users/NYDCATL,https://github.com/NYDCATL,https://api.github.com/users/NYDCATL/repos,4,4,2,4,{'Ruby'},Bad
joaojose,https://api.github.com/users/joaojose,https://github.com/joaojose,https://api.github.com/users/joaojose/repos,28,0,0,0,{'JavaScript'},Bad
edrik,https://api.github.com/users/edrik,https://github.com/edrik,https://api.github.com/users/edrik/repos,5,1,0,1,"{'Shell', 'Java', 'JavaScript', 'Python', 'CSS', 'HTML'}",Bad
fujimoto,https://api.github.com/users/fujimoto,https://github.com/fujimoto,https://api.github.com/users/fujimoto/repos,212,166,54,166,"{'TypeScript', 'Ruby', 'JavaScript', 'C', 'Swift', 'C++', 'Jupyter Notebook', 'Vue', 'PHP', 'Go'}",Excellent
benspaulding,https://api.github.com/users/benspaulding,https://github.com/benspaulding,https://api.github.com/users/benspaulding/repos,96,88,25,88,"{'Shell', 'JavaScript', 'Python', 'MDX', 'VimL', 'Just'}",Excellent
charlieflowers,https://api.github.com/users/charlieflowers,https://github.com/charlieflowers,https://api.github.com/users/charlieflowers/repos,6,7,1,7,"{'Shell', 'Nimrod', 'Ruby', 'JavaScript', 'Clojure', 'CSS', 'C#', 'C++', 'Haskell', 'VimL', 'CoffeeScript', 'Rust', 'Go', 'Emacs Lisp'}",Bad
remogatto,https://api.github.com/users/remogatto,https://github.com/remogatto,https://api.github.com/users/remogatto/repos,87,204,53,204,"{'Shell', 'Ruby', 'JavaScript', 'C', 'Go', 'Java'}",Excellent
jimrhoskins,https://api.github.com/users/jimrhoskins,https://github.com/jimrhoskins,https://api.github.com/users/jimrhoskins/repos,344,386,91,386,"{'TypeScript', 'Shell', 'Ruby', 'JavaScript', 'CSS', 'Lua', 'VimL', 'CoffeeScript', 'Go', 'Java'}",Excellent
willemv,https://api.github.com/users/willemv,https://github.com/willemv,https://api.github.com/users/willemv/repos,8,8,3,8,"{'GLSL', 'Ruby', 'C', 'Python', 'CSS', 'Rust', 'Java'}",Bad
ezajko,https://api.github.com/users/ezajko,https://github.com/ezajko,https://api.github.com/users/ezajko/repos,10,0,0,0,"{'Shell', 'JavaScript', 'Python', 'PHP', 'Perl', 'Java'}",Bad
bunwich,https://api.github.com/users/bunwich,https://github.com/bunwich,https://api.github.com/users/bunwich/repos,5,1,0,1,"{'PHP', 'JavaScript'}",Bad
ishikawa,https://api.github.com/users/ishikawa,https://github.com/ishikawa,https://api.github.com/users/ishikawa/repos,69,41,4,41,"{'Elixir', 'TypeScript', 'Ruby', 'JavaScript', 'Swift', 'Objective-C', 'Python', 'Erlang', 'Rust', 'Perl', 'HTML'}",Average
sillito,https://api.github.com/users/sillito,https://github.com/sillito,https://api.github.com/users/sillito/repos,11,3,2,3,"{'CSS', 'TypeScript'}",Bad
karlbright,https://api.github.com/users/karlbright,https://github.com/karlbright,https://api.github.com/users/karlbright/repos,50,0,0,0,"{'TypeScript', 'JavaScript', 'C', 'Nix', 'Rust', 'Go', 'Emacs Lisp'}",Bad
erikj,https://api.github.com/users/erikj,https://github.com/erikj,https://api.github.com/users/erikj/repos,0,17,6,17,"{'ApacheConf', 'Shell', 'Ruby', 'JavaScript', 'C', 'CSS', 'Python', 'CoffeeScript', 'HTML'}",Bad
derrek,https://api.github.com/users/derrek,https://github.com/derrek,https://api.github.com/users/derrek/repos,17,0,3,0,"{'Elixir', 'Shell', 'Ruby', 'JavaScript', 'SCSS'}",Bad
sanjay,https://api.github.com/users/sanjay,https://github.com/sanjay,https://api.github.com/users/sanjay/repos,13,2,0,2,{'Ruby'},Bad
df,https://api.github.com/users/df,https://github.com/df,https://api.github.com/users/df/repos,9,3,0,3,set(),Bad
jumoel,https://api.github.com/users/jumoel,https://github.com/jumoel,https://api.github.com/users/jumoel/repos,22,26,7,26,"{'TypeScript', 'HTML', 'Ruby', 'JavaScript', 'C', 'Python', 'C#', 'C++', 'Go', 'Java'}",Bad
fabbed,https://api.github.com/users/fabbed,https://github.com/fabbed,https://api.github.com/users/fabbed/repos,4,12,1,12,"{'Ruby', 'JavaScript'}",Bad
jacadym,https://api.github.com/users/jacadym,https://github.com/jacadym,https://api.github.com/users/jacadym/repos,6,7,0,7,"{'PHP', 'C', 'Objective-C'}",Bad
jigargosar,https://api.github.com/users/jigargosar,https://github.com/jigargosar,https://api.github.com/users/jigargosar/repos,18,4,0,4,"{'TypeScript', 'Shell', 'HTML', 'Ruby', 'JavaScript', 'Elm', 'Java'}",Bad
benadida,https://api.github.com/users/benadida,https://github.com/benadida,https://api.github.com/users/benadida/repos,262,830,354,830,"{'HTML', 'JavaScript', 'Python', 'Go', 'Java'}",Excellent
ltratt,https://api.github.com/users/ltratt,https://github.com/ltratt,https://api.github.com/users/ltratt/repos,325,351,36,351,"{'Yacc', 'Shell', 'C', 'Python', 'Rust', 'HTML'}",Excellent
sthorpe,https://api.github.com/users/sthorpe,https://github.com/sthorpe,https://api.github.com/users/sthorpe/repos,61,4,2,4,"{'Shell', 'Ruby', 'JavaScript', 'C', 'Objective-C', 'Python', 'C#', 'CSS', 'C++', 'Go', 'YASnippet'}",Bad
jeffpoulton,https://api.github.com/users/jeffpoulton,https://github.com/jeffpoulton,https://api.github.com/users/jeffpoulton/repos,15,0,0,0,set(),Bad
a4agarwal,https://api.github.com/users/a4agarwal,https://github.com/a4agarwal,https://api.github.com/users/a4agarwal/repos,18,16,50,16,{'Objective-C'},Bad
ricardomeza,https://api.github.com/users/ricardomeza,https://github.com/ricardomeza,https://api.github.com/users/ricardomeza/repos,14,10,0,10,"{'TypeScript', 'Dockerfile', 'JavaScript', 'CSS', 'HTML'}",Bad
maran,https://api.github.com/users/maran,https://github.com/maran,https://api.github.com/users/maran/repos,439,49,34,49,"{'Shell', 'TypeScript', 'Ruby', 'JavaScript', 'Python', 'Lua', 'C++', 'Crystal', 'Go'}",Excellent
DeanWeber,https://api.github.com/users/DeanWeber,https://github.com/DeanWeber,https://api.github.com/users/DeanWeber/repos,6,0,0,0,"{'Shell', 'Jupyter Notebook', 'HTML'}",Bad
nadouani,https://api.github.com/users/nadouani,https://github.com/nadouani,https://api.github.com/users/nadouani/repos,121,17,13,17,"{'TypeScript', 'Java', 'JavaScript', 'Python', 'Groovy', 'HTML'}",Bad
mangar,https://api.github.com/users/mangar,https://github.com/mangar,https://api.github.com/users/mangar/repos,47,42,8,42,"{'Dockerfile', 'Arduino', 'Ruby', 'JavaScript', 'Java', 'CSS', 'C#', 'Python', 'Go', 'HTML'}",Average
jeremyBanks,https://api.github.com/users/jeremyBanks,https://github.com/jeremyBanks,https://api.github.com/users/jeremyBanks/repos,35,68,13,68,"{'Assembly', 'TypeScript', 'JavaScript', 'C', 'Objective-C', 'Python', 'Rust', 'HTML'}",Average
tuulos,https://api.github.com/users/tuulos,https://github.com/tuulos,https://api.github.com/users/tuulos/repos,242,15,28,15,"{'Python', 'C'}",Average
ai,https://api.github.com/users/ai,https://github.com/ai,https://api.github.com/users/ai/repos,9052,11223,1033,11223,"{'Shell', 'Ruby', 'JavaScript', 'CSS', 'CoffeeScript'}",Excellent
zbeat,https://api.github.com/users/zbeat,https://github.com/zbeat,https://api.github.com/users/zbeat/repos,8,2,2,2,"{'Ruby', 'JavaScript', 'Objective-C', 'Python', 'HTML'}",Bad
tow8ie,https://api.github.com/users/tow8ie,https://github.com/tow8ie,https://api.github.com/users/tow8ie/repos,28,5,13,5,"{'Shell', 'Dockerfile', 'Ruby', 'JavaScript', 'Emacs Lisp', 'Clojure', 'CSS', 'Python', 'CoffeeScript', 'HTML'}",Bad
thewebfellas,https://api.github.com/users/thewebfellas,https://github.com/thewebfellas,https://api.github.com/users/thewebfellas/repos,14,114,63,114,"{'Ruby', 'JavaScript', 'PHP', 'C'}",Average
spullen,https://api.github.com/users/spullen,https://github.com/spullen,https://api.github.com/users/spullen/repos,20,57,18,57,"{'ColdFusion', 'Ruby', 'JavaScript', 'CSS', 'Python', 'C++', 'PHP', 'Groovy', 'Java'}",Average
mjago,https://api.github.com/users/mjago,https://github.com/mjago,https://api.github.com/users/mjago/repos,15,24,2,24,"{'Ruby', 'JavaScript', 'C', 'CSS', 'Python', 'C++', 'Makefile', 'Crystal', 'Emacs Lisp'}",Bad
atsyed,https://api.github.com/users/atsyed,https://github.com/atsyed,https://api.github.com/users/atsyed/repos,7,0,0,0,{'Ruby'},Bad
sdang,https://api.github.com/users/sdang,https://github.com/sdang,https://api.github.com/users/sdang/repos,6,8,3,8,"{'Ruby', 'JavaScript', 'Shell', 'Objective-C'}",Bad
dec,https://api.github.com/users/dec,https://github.com/dec,https://api.github.com/users/dec/repos,29,3,1,3,"{'Objective-C++', 'Java', 'JavaScript', 'Objective-C', 'HTML'}",Bad
adamgonzalez1984,https://api.github.com/users/adamgonzalez1984,https://github.com/adamgonzalez1984,https://api.github.com/users/adamgonzalez1984/repos,4,1,0,1,set(),Bad
ssoriche,https://api.github.com/users/ssoriche,https://github.com/ssoriche,https://api.github.com/users/ssoriche/repos,30,18,1,18,"{'Shell', 'HTML', 'JavaScript', 'Python', 'Lua', 'Go', 'Perl', 'Java'}",Bad
kremso,https://api.github.com/users/kremso,https://github.com/kremso,https://api.github.com/users/kremso/repos,34,202,87,202,"{'Shell', 'Ruby', 'JavaScript', 'C', 'Python', 'Lua', 'VimL'}",Excellent
tbly,https://api.github.com/users/tbly,https://github.com/tbly,https://api.github.com/users/tbly/repos,10,4,1,4,"{'Ruby', 'JavaScript', 'Python'}",Bad
btelles,https://api.github.com/users/btelles,https://github.com/btelles,https://api.github.com/users/btelles/repos,20,58,16,58,"{'TypeScript', 'Ruby', 'JavaScript', 'Emacs Lisp', 'CSS', 'Python', 'HTML'}",Average
k16shikano,https://api.github.com/users/k16shikano,https://github.com/k16shikano,https://api.github.com/users/k16shikano/repos,44,85,6,85,"{'PostScript', 'Shell', 'HTML', 'Ruby', 'C', 'Haskell', 'TeX', 'Erlang', 'Rust', 'Coq', 'Go', 'Scheme'}",Average
kawaguti,https://api.github.com/users/kawaguti,https://github.com/kawaguti,https://api.github.com/users/kawaguti/repos,18,58,20,58,"{'TypeScript', 'Ruby', 'JavaScript', 'C#', 'Visual Basic', 'HTML'}",Average
ericcolon,https://api.github.com/users/ericcolon,https://github.com/ericcolon,https://api.github.com/users/ericcolon/repos,23,1,1,1,"{'Python', 'CSS', 'Jupyter Notebook', 'R'}",Bad
robertobressan,https://api.github.com/users/robertobressan,https://github.com/robertobressan,https://api.github.com/users/robertobressan/repos,4,2,0,2,"{'JavaScript', 'TypeScript'}",Bad
mattvanhorn,https://api.github.com/users/mattvanhorn,https://github.com/mattvanhorn,https://api.github.com/users/mattvanhorn/repos,35,33,8,33,"{'Elixir', 'Shell', 'Ruby', 'JavaScript', 'HTML'}",Average
martinfilliau,https://api.github.com/users/martinfilliau,https://github.com/martinfilliau,https://api.github.com/users/martinfilliau/repos,33,39,11,39,"{'Shell', 'Rust', 'Puppet', 'JavaScript', 'Python', 'CSS', 'C#', 'VimL', 'Kotlin', 'PHP', 'Perl', 'Java'}",Average
GDP,https://api.github.com/users/GDP,https://github.com/GDP,https://api.github.com/users/GDP/repos,4,2,0,2,{'Ruby'},Bad
zacklyn,https://api.github.com/users/zacklyn,https://github.com/zacklyn,https://api.github.com/users/zacklyn/repos,4,2,1,2,{'C'},Bad
chuckh,https://api.github.com/users/chuckh,https://github.com/chuckh,https://api.github.com/users/chuckh/repos,77,5,2,5,"{'ApacheConf', 'TypeScript', 'JavaScript', 'CSS', 'CoffeeScript', 'HTML'}",Bad
rvcx,https://api.github.com/users/rvcx,https://github.com/rvcx,https://api.github.com/users/rvcx/repos,4,7,1,7,"{'Python', 'HTML', 'Swift', 'Java'}",Bad
terhorst,https://api.github.com/users/terhorst,https://github.com/terhorst,https://api.github.com/users/terhorst/repos,36,9,4,9,"{'Shell', 'Dockerfile', 'Ruby', 'C', 'Python', 'C++', 'Jupyter Notebook', 'Groovy', 'HTML'}",Bad
devwiki,https://api.github.com/users/devwiki,https://github.com/devwiki,https://api.github.com/users/devwiki/repos,4,1,0,1,set(),Bad
mrstocks,https://api.github.com/users/mrstocks,https://github.com/mrstocks,https://api.github.com/users/mrstocks/repos,11,13,1,13,"{'Ruby', 'CSS', 'JavaScript', 'PHP'}",Bad
blackthought286,https://api.github.com/users/blackthought286,https://github.com/blackthought286,https://api.github.com/users/blackthought286/repos,42,12,0,12,"{'JavaScript', 'CSS', 'C#', 'C++', 'TeX', 'PHP', 'Java'}",Bad
edel,https://api.github.com/users/edel,https://github.com/edel,https://api.github.com/users/edel/repos,6,0,0,0,"{'Python', 'C++', 'C', 'HTML'}",Bad
kattis-xx,https://api.github.com/users/kattis-xx,https://github.com/kattis-xx,https://api.github.com/users/kattis-xx/repos,4,2,0,2,set(),Bad
thugcee,https://api.github.com/users/thugcee,https://github.com/thugcee,https://api.github.com/users/thugcee/repos,7,9,0,9,"{'Shell', 'Java', 'Vim script', 'Lua', 'Haskell', 'Rust', 'HTML'}",Bad
prat0088,https://api.github.com/users/prat0088,https://github.com/prat0088,https://api.github.com/users/prat0088/repos,4,5,3,5,"{'JavaScript', 'C', 'Python', 'C++', 'VimL', 'Perl', 'HTML'}",Bad
scryan7371,https://api.github.com/users/scryan7371,https://github.com/scryan7371,https://api.github.com/users/scryan7371/repos,12,0,0,0,{'HTML'},Bad
gyver,https://api.github.com/users/gyver,https://github.com/gyver,https://api.github.com/users/gyver/repos,6,6,2,6,"{'Python', 'Ruby', 'TypeScript'}",Bad
Laurian,https://api.github.com/users/Laurian,https://github.com/Laurian,https://api.github.com/users/Laurian/repos,163,31,6,31,"{'JavaScript', 'C', 'Python', 'CSS', 'HTML'}",Average
chokosabe,https://api.github.com/users/chokosabe,https://github.com/chokosabe,https://api.github.com/users/chokosabe/repos,13,5,0,5,"{'Python', 'JavaScript', 'Vim script', 'VimL'}",Bad
jbaker,https://api.github.com/users/jbaker,https://github.com/jbaker,https://api.github.com/users/jbaker/repos,5,2,0,2,{'ASP'},Bad
joaomoreno,https://api.github.com/users/joaomoreno,https://github.com/joaomoreno,https://api.github.com/users/joaomoreno/repos,1181,95,12,95,"{'TypeScript', 'Shell', 'JavaScript', 'Python', 'CSS', 'C#', 'C++', 'Jupyter Notebook', 'CoffeeScript', 'Go'}",Average
ryanio,https://api.github.com/users/ryanio,https://github.com/ryanio,https://api.github.com/users/ryanio/repos,232,137,34,137,"{'TypeScript', 'Solidity', 'JavaScript', 'C', 'Vue', 'HTML'}",Excellent
nileshtrivedi,https://api.github.com/users/nileshtrivedi,https://github.com/nileshtrivedi,https://api.github.com/users/nileshtrivedi/repos,220,236,44,236,"{'Dart', 'TypeScript', 'Elixir', 'Ruby', 'Java', 'JavaScript', 'CSS', 'Python', 'Svelte', 'Go', 'HTML'}",Excellent
ddalley,https://api.github.com/users/ddalley,https://github.com/ddalley,https://api.github.com/users/ddalley/repos,4,0,0,0,"{'Dart', 'JavaScript'}",Bad
Kaelten,https://api.github.com/users/Kaelten,https://github.com/Kaelten,https://api.github.com/users/Kaelten/repos,11,5,1,5,{'Lua'},Bad
skoona,https://api.github.com/users/skoona,https://github.com/skoona,https://api.github.com/users/skoona/repos,14,28,5,28,"{'Dockerfile', 'Ruby', 'JavaScript', 'C', 'C++', 'Go', 'HTML'}",Bad
mwatts,https://api.github.com/users/mwatts,https://github.com/mwatts,https://api.github.com/users/mwatts/repos,20,1,0,1,"{'Dart', 'TypeScript', 'JavaScript', 'Python', 'C++', 'TeX', 'Rust', 'Go'}",Bad
lonnen,https://api.github.com/users/lonnen,https://github.com/lonnen,https://api.github.com/users/lonnen/repos,70,11,1,11,"{'Shell', 'HTML', 'Ruby', 'JavaScript', 'Python', 'PHP', 'Perl', 'Scheme'}",Bad
bmilleare,https://api.github.com/users/bmilleare,https://github.com/bmilleare,https://api.github.com/users/bmilleare/repos,35,0,0,0,"{'Ruby', 'JavaScript', 'Scala', 'Python', 'C++', 'VimL', 'PHP'}",Bad
tpak,https://api.github.com/users/tpak,https://github.com/tpak,https://api.github.com/users/tpak/repos,18,1,1,1,"{'Ruby', 'Python', 'C++', 'Jupyter Notebook', 'Groovy'}",Bad
eloheliot,https://api.github.com/users/eloheliot,https://github.com/eloheliot,https://api.github.com/users/eloheliot/repos,11,27,15,27,set(),Bad
legolin,https://api.github.com/users/legolin,https://github.com/legolin,https://api.github.com/users/legolin/repos,10,11,5,11,"{'Ruby', 'JavaScript', 'C', 'Python', 'CoffeeScript'}",Bad
kazuya,https://api.github.com/users/kazuya,https://github.com/kazuya,https://api.github.com/users/kazuya/repos,12,8,1,8,"{'JavaScript', 'C', 'Clojure', 'Python', 'C++', 'Haskell'}",Bad
marcusmateus,https://api.github.com/users/marcusmateus,https://github.com/marcusmateus,https://api.github.com/users/marcusmateus/repos,13,29,2,29,"{'Ruby', 'JavaScript', 'Shell', 'VimL'}",Bad
hajee,https://api.github.com/users/hajee,https://github.com/hajee,https://api.github.com/users/hajee/repos,15,2,4,2,"{'Elixir', 'Puppet', 'Ruby', 'JavaScript', 'HTML'}",Bad
lisbonpm,https://api.github.com/users/lisbonpm,https://github.com/lisbonpm,https://api.github.com/users/lisbonpm/repos,9,6,0,6,{'Perl'},Bad
sondogf,https://api.github.com/users/sondogf,https://github.com/sondogf,https://api.github.com/users/sondogf/repos,4,1,0,1,set(),Bad
ino46,https://api.github.com/users/ino46,https://github.com/ino46,https://api.github.com/users/ino46/repos,4,2,0,2,{'JavaScript'},Bad
psanxiao,https://api.github.com/users/psanxiao,https://github.com/psanxiao,https://api.github.com/users/psanxiao/repos,19,0,1,0,"{'HTML', 'JavaScript', 'C', 'CSS', 'Python', 'Jupyter Notebook', 'Makefile', 'Java'}",Bad
ngs,https://api.github.com/users/ngs,https://github.com/ngs,https://api.github.com/users/ngs/repos,289,428,145,428,"{'Shell', 'Dockerfile', 'Ruby', 'JavaScript', 'Apex', 'Vim script', 'Swift', 'Go', 'HTML'}",Excellent
send,https://api.github.com/users/send,https://github.com/send,https://api.github.com/users/send/repos,51,34,15,34,"{'Shell', 'Ruby', 'JavaScript', 'C++', 'PHP', 'Go'}",Average
mscohen,https://api.github.com/users/mscohen,https://github.com/mscohen,https://api.github.com/users/mscohen/repos,5,2,0,2,"{'C', 'Jupyter Notebook'}",Bad
eggcaker,https://api.github.com/users/eggcaker,https://github.com/eggcaker,https://api.github.com/users/eggcaker/repos,47,160,34,160,"{'TypeScript', 'Ruby', 'JavaScript', 'CSS', 'Lua', 'Python', 'TeX', 'Rust', 'Emacs Lisp'}",Excellent
ElectricDesk,https://api.github.com/users/ElectricDesk,https://github.com/ElectricDesk,https://api.github.com/users/ElectricDesk/repos,4,2,0,2,set(),Bad
vertis,https://api.github.com/users/vertis,https://github.com/vertis,https://api.github.com/users/vertis/repos,72,9,6,9,"{'TypeScript', 'Shell', 'Ruby', 'JavaScript', 'Python', 'C#', 'Rust', 'Go', 'Java'}",Bad
dnoble,https://api.github.com/users/dnoble,https://github.com/dnoble,https://api.github.com/users/dnoble/repos,7,22,4,22,{'Python'},Bad
oxfamamerica,https://api.github.com/users/oxfamamerica,https://github.com/oxfamamerica,https://api.github.com/users/oxfamamerica/repos,4,15,3,15,"{'Python', 'JavaScript', 'HTML'}",Bad
djcas9,https://api.github.com/users/djcas9,https://github.com/djcas9,https://api.github.com/users/djcas9/repos,267,70,11,70,"{'Ruby', 'JavaScript', 'C', 'Python', 'C++', 'Zeek', 'VimL', 'Go'}",Average
chilles,https://api.github.com/users/chilles,https://github.com/chilles,https://api.github.com/users/chilles/repos,4,2,1,2,{'Visual Basic'},Bad
anggia,https://api.github.com/users/anggia,https://github.com/anggia,https://api.github.com/users/anggia/repos,17,2,0,2,set(),Bad
justinmalone,https://api.github.com/users/justinmalone,https://github.com/justinmalone,https://api.github.com/users/justinmalone/repos,8,0,0,0,{'Ruby'},Bad
DrNI,https://api.github.com/users/DrNI,https://github.com/DrNI,https://api.github.com/users/DrNI/repos,5,2,0,2,{'Shell'},Bad
tonio,https://api.github.com/users/tonio,https://github.com/tonio,https://api.github.com/users/tonio/repos,19,17,4,17,"{'JavaScript', 'Vim script', 'Python', 'Game Maker Language', 'Svelte', 'CSS', 'PHP', 'HTML'}",Bad
amcmanama,https://api.github.com/users/amcmanama,https://github.com/amcmanama,https://api.github.com/users/amcmanama/repos,6,2,0,2,"{'JavaScript', 'HTML'}",Bad
mironov,https://api.github.com/users/mironov,https://github.com/mironov,https://api.github.com/users/mironov/repos,53,13,8,13,"{'TypeScript', 'Ruby', 'JavaScript', 'Liquid', 'Go'}",Bad
lawrencec,https://api.github.com/users/lawrencec,https://github.com/lawrencec,https://api.github.com/users/lawrencec/repos,55,39,11,39,"{'Shell', 'JavaScript', 'Emacs Lisp', 'Python', 'HTML'}",Average
jfding,https://api.github.com/users/jfding,https://github.com/jfding,https://api.github.com/users/jfding/repos,28,5,1,5,"{'Shell', 'Ruby', 'JavaScript', 'C', 'Python', 'Svelte', 'Go'}",Bad
oxdeadbeef,https://api.github.com/users/oxdeadbeef,https://github.com/oxdeadbeef,https://api.github.com/users/oxdeadbeef/repos,5,1,1,1,"{'Python', 'Shell', 'C', 'Tcl'}",Bad
